Title(BHK),location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type,Price
4,sonipat,2191,8,11,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",5,5,1,Open,10016900.0
3,new-delhi,1300,1,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,2,1,"Covered,",18586000.0
2,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered,6400000.0
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,",17500000.0
3,agra,1984,6,14,Resale,Unfurnished,North,"Garden/Park, Pool, Main Road",4,1,1,Covered,16963000.0
2,mumbai,720,7,12,Resale,Unfurnished,North,"Garden/Park, Pool",2,0,1,Open,24373000.0
3,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered,6000000.0
4,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,",29000000.0
4,gurgaon,1700,2,2,Resale,Semi-Furnished,East,"Garden/Park, Main Road",4,4,1,Open,28500000.0
2,noida,1075,3,19,Resale,Furnished,North - East,"Garden/Park, Pool, Main Road",2,2,1,Covered,6450000.0
3,faridabad,1060,1,4,Resale,Semi-Furnished,East,Garden/Park,2,2,1,Covered,6549200.0
2,bhiwadi,950,5,10,Resale,Furnished,East,"Garden/Park, Main Road",2,2,1,"Covered,",2851366.666666667
2,zirakpur,800,3,3,Resale,Semi-Furnished,East,Garden/Park,2,3,2,Open,4442700.0
2,thane,688,3,20,New Property,Unfurnished,East,Garden/Park,2,3,1,Open,5136300.0
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,",17500000.0
2,bangalore,1182,2,4,Resale,Semi-Furnished,South - East,Garden/Park,2,2,1,Covered,7340500.0
3,lucknow,790,1,13,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",2,3,1,Open,5709683.333333334
2,new-delhi,850,1,4,Resale,Semi-Furnished,East,Main Road,2,2,2,Open,7500000.0
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,",17500000.0
4,gurgaon,1900,8,20,Resale,Semi-Furnished,North - East,Garden/Park,4,3,1,Covered,24388000.0
3,mumbai,1400,10,14,Resale,Furnished,West,Main Road,3,1,2,Covered,67774000.0
4,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
3,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,",15800000.0
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered,8500000.0
3,chandigarh,1350,2,4,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",3,2,1,Covered,7214600.0
3,ranchi,1300,2,4,New Property,Unfurnished,East,"Garden/Park, Main Road",3,2,1,Covered,7260050.0
3,jaipur,1111,3,6,New Property,Semi-Furnished,East,Main Road,3,2,1,Covered,5344400.0
3,chennai,950,3,3,New Property,Unfurnished,East,Main Road,2,1,1,Covered,8280166.666666666
3,faridabad,1600,0,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,3,2,"Covered,",11795200.0
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,",17500000.0
3,gurgaon,1701,17,27,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,3,2,"Covered,",43000000.0
